finite_fraction,inverse_transform_ok,is_db,is_linear_magnitude,is_log_magnitude,is_normalized,max,mean,min,normalization_mean_db,normalization_std_db,p1,p5,p50,p95,p99,shape,std,tensor_name,unit
1.0,True,True,False,True,False,71.5204606042051,46.50960063610451,40.04767916613271,46.446006774902344,4.327477931976318,41.19067619380985,41.95272628750521,45.63468074634861,53.05080987623114,65.37533134094336,64x128,4.131641263740656,clean_range_profile_eval,dB
1.0,True,True,False,True,False,73.88134119929238,47.433736729074226,40.67696313737209,46.446006774902344,4.327477931976318,41.39747603197453,42.15699523533154,45.86451050436814,59.65927736177053,67.96427324693859,64x128,5.3021984700882205,interfered_medium_input_eval,dB
1.0,True,True,False,True,False,75.303955078125,46.71687466884032,39.948394775390625,46.446006774902344,4.327477931976318,40.95325984954834,41.82252197265625,45.5916748046875,55.660486984252906,66.23596519470195,256x128,4.661611883914996,training_input,dB
1.0,True,True,False,True,False,75.2871322631836,46.175138651859015,39.943199157714844,46.446006774902344,4.327477931976318,40.81884601593018,41.714820861816406,45.444780349731445,52.719261169433594,63.09126960754375,256x128,3.946741080408675,training_target,dB
1.0,True,True,False,True,False,71.5204606042051,46.50960063610451,40.04767916613271,46.446006774902344,4.327477931976318,41.19067619380985,41.95272628750521,45.63468074634861,53.05080987623114,65.37533134094336,64x128,4.131641263740656,evaluation_target,dB
1.0,True,True,False,True,False,71.18265098460893,46.445012229060595,40.33099368385405,46.446006774902344,4.327477931976318,41.18959369047645,41.92025521450761,45.57768127568751,53.227028768318846,65.07353864340838,64x128,4.134455013471795,mse_model_output,dB
1.0,True,True,False,True,False,93.46926179509683,48.174600542283805,30.601991589923614,46.446006774902344,4.327477931976318,33.87702272345759,37.28593975553461,48.07690695713284,61.405628716437135,80.12037811990558,64x128,7.7317117714421135,bce_model_output,dB
1.0,True,True,False,True,False,75.20757821239863,47.175075219349246,28.972655348967464,46.446006774902344,4.327477931976318,33.652162797545415,37.06044940904109,47.29933112842245,59.333691252549606,69.62790455260699,64x128,6.499266160530047,bce_model_clean_output,dB
1.0,True,False,False,False,True,6.668537139892578,0.06259255356155008,-1.501477837562561,46.446006774902344,4.327477931976318,-1.2692721223831176,-1.068401724100113,-0.19742029160261154,2.129295706748956,4.57309304237361,256x128,1.07721216824419,training_input_normalized,zscore
1.0,True,False,False,False,True,6.664649963378906,-0.06259260662812938,-1.502678394317627,46.446006774902344,4.327477931976318,-1.3003326189517974,-1.0932894945144653,-0.2313648834824562,1.4496328830718994,3.846412022113755,256x128,0.9120187644523019,training_target_normalized,zscore
