input_type,magmse_db_to_clean,method,mse_db_to_clean,mse_power_to_clean,seed,sir_name
clean,0.0,,0.0,0.0,,
interfered_medium,9.222681045532227,,9.222679375445221,4.3435292442714184e+18,,medium
rd_balanced_mild_seed42_model_clean,0.8139095306396484,balanced_mild,0.8139097581813453,3.9156635042912804e+18,42,
rd_balanced_mild_seed42_output,4.722498893737793,balanced_mild,4.7224978031271885,4.5799537776464154e+18,42,medium
rd_weak_w2p0_seed42_model_clean,0.8962036371231079,weak_weighting,0.8962042099246564,3.9151822168597146e+18,42,
rd_weak_w2p0_seed42_output,4.718456268310547,weak_weighting,4.718456741231945,4.593553160819001e+18,42,medium
rd_balanced_mild_seed200_model_clean,1.2868026494979858,balanced_mild,1.2868024740843644,4.07618658108938e+18,200,
rd_balanced_mild_seed200_output,4.395071029663086,balanced_mild,4.395069544249512,4.690765130418802e+18,200,medium
rd_weak_w2p0_seed200_model_clean,1.4132217168807983,weak_weighting,1.4132218786043529,4.0557908306846935e+18,200,
rd_weak_w2p0_seed200_output,4.450935363769531,weak_weighting,4.450936813852737,4.691477497684542e+18,200,medium
